DNA Change	# Affected Cases in Cohort	# Affected Cases Across the GDC	Impact
chr7:g.140753336A>T	68 / 583,11.66%	621 / 16,405	VEP: MODERATE, SIFT: deleterious - score 0, PolyPhen: probably_damaging - score 0.955
chr12:g.25245350C>T	67 / 583,11.49%	439 / 16,405	VEP: MODERATE, SIFT: deleterious - score 0, PolyPhen: benign - score 0.303
chr17:g.58357800delC	51 / 583,8.75%	176 / 16,405	VEP: HIGH
chr2:g.147926117delA	50 / 583,8.58%	183 / 16,405	VEP: HIGH
chr12:g.25245350C>A	49 / 583,8.40%	301 / 16,405	VEP: MODERATE, SIFT: deleterious - score 0, PolyPhen: probably_damaging - score 0.972
chr3:g.179218303G>A	41 / 583,7.03%	313 / 16,405	VEP: MODERATE, SIFT: deleterious - score 0.02, PolyPhen: probably_damaging - score 0.909
chr5:g.112839942C>T	38 / 583,6.52%	58 / 16,405	VEP: HIGH
chr12:g.25245347C>T	38 / 583,6.52%	216 / 16,405	VEP: MODERATE, SIFT: deleterious - score 0.04, PolyPhen: benign - score 0.44
chr17:g.7675088C>T	35 / 583,6.00%	198 / 16,405	VEP: MODERATE, SIFT: tolerated - score 0.11, PolyPhen: benign - score 0.319
chr1:g.6197725delT	33 / 583,5.66%	199 / 16,405	VEP: HIGH
chr10:g.844999delT	26 / 583,4.46%	64 / 16,405	VEP: HIGH
chr3:g.179234297A>G	25 / 583,4.29%	288 / 16,405	VEP: MODERATE, SIFT: tolerated - score 0.11, PolyPhen: benign - score 0.085
chr5:g.112840254_112840255insA	23 / 583,3.95%	38 / 16,405	VEP: HIGH
chrX:g.130056036delC	20 / 583,3.43%	63 / 16,405	VEP: HIGH
chr5:g.112838220C>T	19 / 583,3.26%	34 / 16,405	VEP: HIGH
chr5:g.112780895C>T	18 / 583,3.09%	25 / 16,405	VEP: HIGH
chr12:g.25225628C>T	18 / 583,3.09%	59 / 16,405	VEP: MODERATE, SIFT: deleterious - score 0.03, PolyPhen: possibly_damaging - score 0.844
chr8:g.112228800delA	17 / 583,2.92%	41 / 16,405	VEP: HIGH
chr17:g.7673802C>T	16 / 583,2.74%	123 / 16,405	VEP: MODERATE, SIFT: tolerated - score 0.13, PolyPhen: possibly_damaging - score 0.643
chr16:g.15708830delG	15 / 583,2.57%	45 / 16,405	VEP: MODIFIER
chr8:g.102277121delT	15 / 583,2.57%	70 / 16,405	VEP: HIGH
chr17:g.7673776G>A	15 / 583,2.57%	111 / 16,405	VEP: MODERATE, SIFT: deleterious - score 0, PolyPhen: probably_damaging - score 1
chr5:g.112792446C>T	15 / 583,2.57%	18 / 16,405	VEP: HIGH
chr12:g.25245351C>A	15 / 583,2.57%	160 / 16,405	VEP: MODERATE, SIFT: deleterious - score 0.04, PolyPhen: probably_damaging - score 0.991
chr5:g.112838934C>T	14 / 583,2.40%	30 / 16,405	VEP: HIGH
chr17:g.7674220C>T	14 / 583,2.40%	154 / 16,405	VEP: MODERATE, SIFT: deleterious - score 0, PolyPhen: probably_damaging - score 0.994
chr3:g.179218294G>A	13 / 583,2.23%	197 / 16,405	VEP: MODERATE, SIFT: deleterious - score 0.04, PolyPhen: probably_damaging - score 0.912
chr5:g.112838007C>T	13 / 583,2.23%	16 / 16,405	VEP: HIGH
chr3:g.179199088G>A	13 / 583,2.23%	82 / 16,405	VEP: MODERATE, SIFT: tolerated - score 0.06, PolyPhen: probably_damaging - score 0.971
chr17:g.7674221G>A	12 / 583,2.06%	113 / 16,405	VEP: MODERATE, SIFT: deleterious - score 0, PolyPhen: probably_damaging - score 1
chr17:g.7673803G>A	12 / 583,2.06%	140 / 16,405	VEP: MODERATE, SIFT: deleterious - score 0, PolyPhen: probably_damaging - score 0.999
chr3:g.169115469delT	12 / 583,2.06%	19 / 16,405	VEP: HIGH
chr12:g.57466292delG	11 / 583,1.89%	35 / 16,405	VEP: HIGH
chr5:g.112827194C>T	11 / 583,1.89%	15 / 16,405	VEP: HIGH
chr17:g.7674894G>A	10 / 583,1.72%	89 / 16,405	VEP: HIGH
chr7:g.32975192delC	10 / 583,1.72%	21 / 16,405	VEP: HIGH
chr9:g.134053407delG	10 / 583,1.72%	34 / 16,405	VEP: HIGH
chr13:g.20064537delA	10 / 583,1.72%	29 / 16,405	VEP: HIGH
chr10:g.113165558delA	10 / 583,1.72%	23 / 16,405	VEP: HIGH
chr15:g.44711583delCT	10 / 583,1.72%	37 / 16,405	VEP: HIGH
